sklearn_dt_f1-micro	sklearn_dt_accuracy	sklearn_dt_time	sklearn_rf_f1-micro	sklearn_rf_accuracy	sklearn_rf_time	product_dt_f1-micro	product_dt_accuracy	product_dt_time	product_rf_f1-micro	product_rf_accuracy	product_rf_time	tangent_dt_f1-micro	tangent_dt_accuracy	tangent_dt_time	tangent_rf_f1-micro	tangent_rf_accuracy	tangent_rf_time	knn_f1-micro	knn_accuracy	knn_time	ps_perceptron_f1-micro	ps_perceptron_accuracy	ps_perceptron_time	svm_f1-micro	svm_accuracy	svm_time	ps_svm_f1-micro	ps_svm_accuracy	ps_svm_time	ambient_mlp_f1-micro	ambient_mlp_accuracy	ambient_mlp_time	tangent_mlp_f1-micro	tangent_mlp_accuracy	tangent_mlp_time	ambient_gnn_f1-micro	ambient_gnn_accuracy	ambient_gnn_time	kappa_gcn_f1-micro	kappa_gcn_accuracy	kappa_gcn_time	product_mlr_f1-micro	product_mlr_accuracy	product_mlr_time	signature	seed
0.285	0.285	0.004633903503417969	0.385	0.385	0.033750295639038086	0.305	0.305	0.48258423805236816	0.355	0.355	4.678661584854126	0.27	0.27	0.003249645233154297	0.335	0.335	0.0321202278137207	0.41	0.41	0.0029249191284179688	0.23	0.23	0.011821985244750977	0.21	0.21	0.006180286407470703	0.21	0.21	365.0752136707306	0.355	0.355	4.624483108520508	0.335	0.335	4.569986820220947	0.08	0.08	6.472124814987183	0.21	0.21	20.590430736541748	0.21	0.21	4.672259569168091	SS	39
0.265	0.265	0.005012035369873047	0.33	0.33	0.07093358039855957	0.29	0.29	1.1893601417541504	0.355	0.355	10.71135687828064	0.285	0.285	0.003679990768432617	0.33	0.33	0.03274822235107422	0.425	0.425	0.0033643245697021484	0.305	0.305	0.03686928749084473	0.11	0.11	0.006741762161254883	0.2	0.2	183.14597177505493	0.33	0.33	5.0487940311431885	0.33	0.33	4.9285993576049805	0.12	0.12	11.417164087295532	0.12	0.12	20.66917371749878	0.29	0.29	3.712618350982666	SE	40
0.335	0.335	0.003981828689575195	0.325	0.325	0.03373241424560547	0.275	0.275	1.1299402713775635	0.33	0.33	11.028838634490967	0.26	0.26	0.0033125877380371094	0.33	0.33	0.03203082084655762	0.34	0.34	0.0035414695739746094	0.265	0.265	0.04025411605834961	0.135	0.135	0.007309675216674805	0.155	0.155	199.94395542144775	0.365	0.365	4.7624030113220215	0.33	0.33	6.147141933441162	0.06	0.06	10.01591181755066	0.045	0.045	21.522330284118652	0.245	0.245	4.028922080993652	SE	41
0.305	0.305	0.0041272640228271484	0.325	0.325	0.033794403076171875	0.23	0.23	1.2930514812469482	0.285	0.285	11.411383867263794	0.285	0.285	0.0032968521118164062	0.295	0.295	0.04534602165222168	0.325	0.325	0.0028908252716064453	0.28	0.28	0.013012409210205078	0.135	0.135	0.0069882869720458984	0.13	0.13	172.64618015289307	0.32	0.32	6.608004093170166	0.27	0.27	8.57784366607666	0.165	0.165	8.755106449127197	0.235	0.235	21.35556435585022	0.17	0.17	3.7944223880767822	SE	42
0.33	0.33	0.0044040679931640625	0.39	0.39	0.035102128982543945	0.275	0.275	1.1929748058319092	0.365	0.365	10.989678621292114	0.29	0.29	0.003164052963256836	0.35	0.35	0.03351140022277832	0.395	0.395	0.003306865692138672	0.21	0.21	0.04076194763183594	0.14	0.14	0.007266998291015625	0.18	0.18	177.57196521759033	0.32	0.32	4.980093002319336	0.34	0.34	8.774021863937378	0.125	0.125	12.356342315673828	0.125	0.125	21.71479296684265	0.31	0.31	3.352689266204834	SE	43
0.325	0.325	0.003946065902709961	0.41	0.41	0.0302584171295166	0.3	0.3	1.203385829925537	0.335	0.335	11.150655269622803	0.265	0.265	0.0031280517578125	0.395	0.395	0.031672000885009766	0.38	0.38	0.0029931068420410156	0.21	0.21	0.011707067489624023	0.005	0.005	0.006979942321777344	0.095	0.095	155.05370211601257	0.34	0.34	4.83854079246521	0.28	0.28	4.893438100814819	0.1	0.1	6.840837478637695	0.305	0.305	19.224790811538696	0.1	0.1	3.846006155014038	SE	44
0.33	0.33	0.0041294097900390625	0.325	0.325	0.03295254707336426	0.27	0.27	1.066211223602295	0.335	0.335	10.497574090957642	0.265	0.265	0.003266572952270508	0.325	0.325	0.03263688087463379	0.315	0.315	0.003338336944580078	0.175	0.175	0.03992342948913574	0.005	0.005	0.007065773010253906	0.115	0.115	172.9818150997162	0.245	0.245	4.911369800567627	0.25	0.25	4.845626592636108	0.155	0.155	6.785451173782349	0.16	0.16	16.5343074798584	0.265	0.265	4.308304071426392	SE	45
0.31	0.31	0.0041332244873046875	0.3	0.3	0.04315543174743652	0.23	0.23	0.48450613021850586	0.32	0.32	7.119053602218628	0.28	0.28	0.0032749176025390625	0.305	0.305	0.03297257423400879	0.305	0.305	0.0032312870025634766	0.215	0.215	0.03910255432128906	0.265	0.265	0.007536411285400391	0.135	0.135	204.22093057632446	0.3	0.3	8.70594072341919	0.305	0.305	8.819623231887817	0.265	0.265	8.51132845878601	0.265	0.265	21.079142808914185	0.245	0.245	3.4615423679351807	SE	46
0.305	0.305	0.003947734832763672	0.34	0.34	0.03299355506896973	0.28	0.28	1.1613924503326416	0.265	0.265	10.899587869644165	0.255	0.255	0.003231525421142578	0.345	0.345	0.03427386283874512	0.335	0.335	0.003322124481201172	0.32	0.32	0.03698396682739258	0.18	0.18	0.007491111755371094	0.225	0.225	181.95361876487732	0.33	0.33	5.103601932525635	0.305	0.305	4.8873090744018555	0.095	0.095	9.102022409439087	0.11	0.11	21.47798728942871	0.235	0.235	3.876697301864624	SE	47
0.275	0.275	0.004308223724365234	0.345	0.345	0.03268623352050781	0.275	0.275	1.1245753765106201	0.31	0.31	10.787188291549683	0.29	0.29	0.0031206607818603516	0.345	0.345	0.03277230262756348	0.365	0.365	0.002788543701171875	0.235	0.235	0.010809898376464844	0.15	0.15	0.008716344833374023	0.125	0.125	202.46445155143738	0.31	0.31	8.79699182510376	0.3	0.3	9.096303224563599	0.135	0.135	9.660892248153687	0.12	0.12	19.86704182624817	0.095	0.095	4.367081165313721	SE	48
0.26	0.26	0.004089832305908203	0.39	0.39	0.03375363349914551	0.335	0.335	0.4722890853881836	0.37	0.37	4.484923362731934	0.3	0.3	0.0034513473510742188	0.38	0.38	0.034137725830078125	0.43	0.43	0.002708911895751953	0.33	0.33	0.010650157928466797	0.08	0.08	0.0065386295318603516	0.12	0.12	186.58677673339844	0.375	0.375	5.593079090118408	0.445	0.445	7.566797971725464	0.08	0.08	11.306647539138794	0.26	0.26	20.027145624160767	0.32	0.32	4.343388080596924	SE	49
0.34	0.34	0.004122018814086914	0.35	0.35	0.0345914363861084	0.395	0.395	0.4577291011810303	0.46	0.46	4.173736810684204	0.38	0.38	0.003095388412475586	0.415	0.415	0.03313088417053223	0.47	0.47	0.003113269805908203	0.155	0.155	0.010987043380737305	0.155	0.155	0.0067462921142578125	0.16	0.16	1.387291431427002	0.3	0.3	4.954613924026489	0.36	0.36	4.8155786991119385	0.105	0.105	6.720698118209839	0.145	0.145	8.79286813735962	0.16	0.16	2.998429775238037	H	50
0.415	0.415	0.0038156509399414062	0.42	0.42	0.03489327430725098	0.445	0.445	0.4473247528076172	0.5	0.5	4.0584375858306885	0.44	0.44	0.0034084320068359375	0.485	0.485	0.032874345779418945	0.495	0.495	0.0029747486114501953	0.14	0.14	0.01141810417175293	0.14	0.14	0.0068013668060302734	0.135	0.135	1.6340250968933105	0.3	0.3	8.555235385894775	0.4	0.4	9.170075178146362	0.13	0.13	11.772427320480347	0.14	0.14	13.634068727493286	0.245	0.245	2.3960037231445312	H	51
0.32	0.32	0.003928661346435547	0.375	0.375	0.032974958419799805	0.385	0.385	0.9924771785736084	0.425	0.425	5.318107843399048	0.34	0.34	0.003824472427368164	0.415	0.415	0.1244351863861084	0.37	0.37	0.002995014190673828	0.105	0.105	0.01808905601501465	0.175	0.175	0.011427640914916992	0.175	0.175	1.9943156242370605	0.335	0.335	9.509896516799927	0.36	0.36	9.565371751785278	0.14	0.14	11.263904809951782	0.105	0.105	11.822398900985718	0.26	0.26	2.102125406265259	H	52
0.285	0.285	0.004526853561401367	0.375	0.375	0.09480810165405273	0.335	0.335	0.7823524475097656	0.38	0.38	9.971953630447388	0.375	0.375	0.0034580230712890625	0.415	0.415	0.04419755935668945	0.435	0.435	0.0029714107513427734	0.14	0.14	0.03709268569946289	0.18	0.18	0.0066754817962646484	0.18	0.18	1.4066402912139893	0.305	0.305	8.95165729522705	0.305	0.305	9.173776626586914	0.18	0.18	11.939146280288696	0.18	0.18	11.85346531867981	0.215	0.215	2.5071356296539307	H	53
0.4	0.4	0.003711700439453125	0.435	0.435	0.034067630767822266	0.445	0.445	0.9567484855651855	0.495	0.495	9.260315179824829	0.395	0.395	0.0030260086059570312	0.46	0.46	0.0341801643371582	0.49	0.49	0.003186941146850586	0.16	0.16	0.03730320930480957	0.175	0.175	0.007036924362182617	0.18	0.18	1.3187446594238281	0.295	0.295	8.973901510238647	0.45	0.45	9.356664180755615	0.115	0.115	9.186674356460571	0.115	0.115	12.276096820831299	0.255	0.255	2.5560414791107178	H	54
0.285	0.285	0.004270076751708984	0.405	0.405	0.034108877182006836	0.36	0.36	1.0342204570770264	0.48	0.48	9.523810625076294	0.37	0.37	0.00345611572265625	0.47	0.47	0.03414559364318848	0.415	0.415	0.003193378448486328	0.095	0.095	0.03950834274291992	0.3	0.3	0.006489276885986328	0.3	0.3	1.409860610961914	0.42	0.42	8.534413814544678	0.36	0.36	6.652090072631836	0.17	0.17	9.149650573730469	0.185	0.185	10.453661918640137	0.275	0.275	2.161068916320801	H	55
0.335	0.335	0.0040130615234375	0.385	0.385	0.032895565032958984	0.395	0.395	0.9681918621063232	0.485	0.485	9.621504545211792	0.4	0.4	0.0034639835357666016	0.505	0.505	0.033446550369262695	0.475	0.475	0.0031986236572265625	0.15	0.15	0.03716397285461426	0.23	0.23	0.0068242549896240234	0.23	0.23	1.3815741539001465	0.345	0.345	9.039132356643677	0.36	0.36	9.424710988998413	0.145	0.145	9.370089054107666	0.145	0.145	11.895798683166504	0.355	0.355	2.622821092605591	H	56
0.31	0.31	0.004049539566040039	0.375	0.375	0.03661227226257324	0.39	0.39	1.1416540145874023	0.435	0.435	10.364043951034546	0.35	0.35	0.003164529800415039	0.395	0.395	0.03197336196899414	0.43	0.43	0.0032842159271240234	0.135	0.135	0.0378875732421875	0.195	0.195	0.007243633270263672	0.175	0.175	1.3124277591705322	0.28	0.28	5.540397644042969	0.4	0.4	7.772407293319702	0.105	0.105	8.64458703994751	0.105	0.105	10.94620418548584	0.225	0.225	2.573559284210205	H	57
0.39	0.39	0.0037794113159179688	0.505	0.505	0.03371715545654297	0.375	0.375	0.9122440814971924	0.5	0.5	9.007980108261108	0.46	0.46	0.00337982177734375	0.52	0.52	0.03371930122375488	0.51	0.51	0.003100156784057617	0.11	0.11	0.03998446464538574	0.43	0.43	0.005873203277587891	0.43	0.43	1.4793338775634766	0.42	0.42	9.226385831832886	0.47	0.47	7.805481195449829	0.43	0.43	8.954850196838379	0.125	0.125	10.779212474822998	0.445	0.445	2.5323476791381836	H	58
0.3	0.3	0.004004955291748047	0.425	0.425	0.03305625915527344	0.36	0.36	1.1033005714416504	0.465	0.465	10.033110857009888	0.38	0.38	0.0032410621643066406	0.41	0.41	0.03638505935668945	0.45	0.45	0.0033905506134033203	0.18	0.18	0.03980660438537598	0.295	0.295	0.0066564083099365234	0.295	0.295	1.3722965717315674	0.265	0.265	9.022064685821533	0.385	0.385	9.072589874267578	0.095	0.095	9.498334169387817	0.295	0.295	11.36087703704834	0.32	0.32	2.633936882019043	H	59
0.235	0.235	0.0033769607543945312	0.285	0.285	0.034734249114990234	0.28	0.28	1.1431775093078613	0.335	0.335	10.883779287338257	0.275	0.275	0.0032868385314941406	0.285	0.285	0.0325772762298584	0.36	0.36	0.002959728240966797	0.255	0.255	0.055974483489990234	0.105	0.105	0.008862018585205078	0.11	0.11	1.3023185729980469	0.25	0.25	9.199758052825928	0.235	0.235	8.97165846824646	0.225	0.225	9.165032863616943	0.15	0.15	10.507463693618774	0.22	0.22	1.4365978240966797	E	60
0.325	0.325	0.0033140182495117188	0.395	0.395	0.03525590896606445	0.35	0.35	1.08412504196167	0.39	0.39	10.629382848739624	0.32	0.32	0.0032036304473876953	0.395	0.395	0.03458094596862793	0.375	0.375	0.003145456314086914	0.255	0.255	0.03968334197998047	0.245	0.245	0.009793281555175781	0.115	0.115	1.340590238571167	0.335	0.335	9.044156551361084	0.26	0.26	8.702864170074463	0.245	0.245	8.940372705459595	0.245	0.245	9.789912223815918	0.255	0.255	1.8000435829162598	E	61
0.325	0.325	0.0038263797760009766	0.355	0.355	0.03640389442443848	0.26	0.26	1.1604301929473877	0.315	0.315	11.918256521224976	0.31	0.31	0.0033349990844726562	0.355	0.355	0.03361845016479492	0.335	0.335	0.0030584335327148438	0.195	0.195	0.03839445114135742	0.11	0.11	0.010432243347167969	0.12	0.12	1.3247780799865723	0.27	0.27	8.589354038238525	0.3	0.3	7.697979688644409	0.22	0.22	10.118299722671509	0.11	0.11	11.825906038284302	0.26	0.26	1.7911090850830078	E	62
0.31	0.31	0.003537416458129883	0.365	0.365	0.03351020812988281	0.295	0.295	1.212045669555664	0.31	0.31	11.54784083366394	0.305	0.305	0.004228830337524414	0.365	0.365	0.312943696975708	0.395	0.395	0.002544879913330078	0.18	0.18	0.0428769588470459	0.155	0.155	0.07561039924621582	0.155	0.155	2.1355388164520264	0.265	0.265	7.150202751159668	0.225	0.225	8.317821025848389	0.155	0.155	9.413024187088013	0.12	0.12	12.306625366210938	0.195	0.195	1.8351562023162842	E	63
0.29	0.29	0.0036072731018066406	0.345	0.345	0.033539772033691406	0.3	0.3	1.1580476760864258	0.33	0.33	11.280620336532593	0.285	0.285	0.0042803287506103516	0.345	0.345	0.11483955383300781	0.305	0.305	0.0025479793548583984	0.2	0.2	0.049251556396484375	0.07	0.07	0.012707948684692383	0.13	0.13	1.7669825553894043	0.265	0.265	6.656356334686279	0.24	0.24	7.516646862030029	0.07	0.07	11.600265741348267	0.23	0.23	10.162402391433716	0.245	0.245	1.5957226753234863	E	64
0.335	0.335	0.0036399364471435547	0.415	0.415	0.03345537185668945	0.345	0.345	1.1050357818603516	0.365	0.365	10.341300249099731	0.335	0.335	0.0044307708740234375	0.415	0.415	0.0902719497680664	0.385	0.385	0.002839803695678711	0.345	0.345	0.028738021850585938	0.335	0.335	0.011202096939086914	0.065	0.065	1.7585868835449219	0.42	0.42	5.987238883972168	0.405	0.405	9.460617780685425	0.095	0.095	9.141084432601929	0.095	0.095	12.41110873222351	0.375	0.375	2.0309884548187256	E	65
0.285	0.285	0.003692150115966797	0.385	0.385	0.032877445220947266	0.335	0.335	1.1417930126190186	0.325	0.325	10.986488103866577	0.275	0.275	0.004500389099121094	0.385	0.385	0.12756586074829102	0.35	0.35	0.0041751861572265625	0.21	0.21	0.012717247009277344	0.165	0.165	0.011710166931152344	0.095	0.095	2.051222562789917	0.315	0.315	6.811524391174316	0.34	0.34	8.649332284927368	0.165	0.165	12.644521713256836	0.26	0.26	12.901095390319824	0.355	0.355	2.4491333961486816	E	66
0.28	0.28	0.0034775733947753906	0.27	0.27	0.03551077842712402	0.245	0.245	1.1959738731384277	0.3	0.3	9.469768047332764	0.29	0.29	0.004206418991088867	0.27	0.27	0.10410785675048828	0.365	0.365	0.0026140213012695312	0.21	0.21	0.02386951446533203	0.165	0.165	0.03098583221435547	0.155	0.155	2.0240726470947266	0.275	0.275	8.24499249458313	0.25	0.25	9.178929090499878	0.06	0.06	9.30161738395691	0.195	0.195	9.461975812911987	0.265	0.265	1.813520908355713	E	67
0.33	0.33	0.003893613815307617	0.41	0.41	0.033972740173339844	0.32	0.32	1.1389355659484863	0.435	0.435	8.87717604637146	0.305	0.305	0.0038340091705322266	0.41	0.41	0.03418731689453125	0.42	0.42	0.0030999183654785156	0.4	0.4	0.03988528251647949	0.135	0.135	0.008262395858764648	0.14	0.14	1.3955132961273193	0.39	0.39	5.591374158859253	0.405	0.405	5.590444803237915	0.145	0.145	7.75678014755249	0.145	0.145	7.9271910190582275	0.325	0.325	1.414447546005249	E	68
0.29	0.29	0.003258943557739258	0.37	0.37	0.03356432914733887	0.3	0.3	1.0742602348327637	0.375	0.375	10.654781579971313	0.27	0.27	0.003218412399291992	0.37	0.37	0.03358101844787598	0.36	0.36	0.0028505325317382812	0.225	0.225	0.041715145111083984	0.155	0.155	0.009225845336914062	0.14	0.14	1.5734350681304932	0.3	0.3	5.8316192626953125	0.335	0.335	5.563325881958008	0.12	0.12	11.50571894645691	0.12	0.12	12.190993309020996	0.3	0.3	1.7360138893127441	E	69
0.285	0.285	0.004215717315673828	0.345	0.345	0.03437495231628418	0.245	0.245	1.2186381816864014	0.305	0.305	11.370897769927979	0.25	0.25	0.00554656982421875	0.34	0.34	0.08069777488708496	0.315	0.315	0.0027544498443603516	0.11	0.11	0.01243734359741211	0.25	0.25	0.01898503303527832	0.25	0.25	390.90406584739685	0.26	0.26	5.661541938781738	0.285	0.285	5.183219909667969	0.16	0.16	8.562692403793335	0.16	0.16	13.532977819442749	0.15	0.15	2.1970880031585693	S	70
0.255	0.255	0.004845380783081055	0.27	0.27	0.05401730537414551	0.265	0.265	0.6157689094543457	0.3	0.3	6.3653552532196045	0.17	0.17	0.0037927627563476562	0.295	0.295	0.03266596794128418	0.25	0.25	0.003020763397216797	0.14	0.14	0.011246919631958008	0.27	0.27	0.010019302368164062	0.27	0.27	536.2429459095001	0.255	0.255	6.489887475967407	0.26	0.26	6.158748388290405	0.14	0.14	9.58094334602356	0.14	0.14	14.144042015075684	0.19	0.19	2.8934082984924316	S	71
0.235	0.235	0.004395246505737305	0.27	0.27	0.034362077713012695	0.225	0.225	0.5015263557434082	0.275	0.275	6.425812005996704	0.205	0.205	0.004919767379760742	0.275	0.275	0.054837942123413086	0.265	0.265	0.0059719085693359375	0.16	0.16	0.019343137741088867	0.195	0.195	0.008806228637695312	0.195	0.195	524.2152948379517	0.235	0.235	6.805982828140259	0.275	0.275	6.486391305923462	0.1	0.1	8.802543878555298	0.1	0.1	13.428978204727173	0.21	0.21	2.6523823738098145	S	72
0.295	0.295	0.004133701324462891	0.285	0.285	0.036309003829956055	0.255	0.255	0.493558406829834	0.29	0.29	6.522622346878052	0.21	0.21	0.005331754684448242	0.24	0.24	0.07513880729675293	0.22	0.22	0.0042781829833984375	0.195	0.195	0.02399897575378418	0.21	0.21	0.015526771545410156	0.21	0.21	535.6443870067596	0.295	0.295	6.865715503692627	0.245	0.245	7.4639410972595215	0.105	0.105	7.493542432785034	0.105	0.105	13.378188371658325	0.21	0.21	2.263848304748535	S	73
0.21	0.21	0.005545616149902344	0.275	0.275	0.055291175842285156	0.26	0.26	0.5421607494354248	0.325	0.325	4.7814812660217285	0.24	0.24	0.005955219268798828	0.275	0.275	0.10740399360656738	0.365	0.365	0.015611648559570312	0.185	0.185	0.031610965728759766	0.18	0.18	0.017436742782592773	0.18	0.18	479.61025524139404	0.265	0.265	6.725298166275024	0.205	0.205	6.31717324256897	0.18	0.18	9.918797731399536	0.18	0.18	12.266180515289307	0.175	0.175	2.9817287921905518	S	74
0.315	0.315	0.01318979263305664	0.34	0.34	0.0750434398651123	0.295	0.295	0.6457710266113281	0.285	0.285	6.53841757774353	0.27	0.27	0.004898786544799805	0.325	0.325	0.05240607261657715	0.37	0.37	0.0027289390563964844	0.155	0.155	0.026795387268066406	0.18	0.18	0.019259929656982422	0.18	0.18	561.6641039848328	0.235	0.235	5.705597877502441	0.215	0.215	5.922961235046387	0.115	0.115	8.277807712554932	0.17	0.17	15.66017484664917	0.135	0.135	2.857797145843506	S	75
0.225	0.225	0.004500150680541992	0.255	0.255	0.0336000919342041	0.24	0.24	0.512078046798706	0.235	0.235	6.067525625228882	0.205	0.205	0.0050885677337646484	0.24	0.24	0.0699150562286377	0.265	0.265	0.006476402282714844	0.195	0.195	0.012660503387451172	0.17	0.17	0.009192943572998047	0.17	0.17	491.70719742774963	0.175	0.175	6.747140645980835	0.235	0.235	6.140946388244629	0.08	0.08	7.436300039291382	0.08	0.08	13.585570573806763	0.195	0.195	2.0471506118774414	S	76
0.2	0.2	0.005434274673461914	0.325	0.325	0.03271651268005371	0.28	0.28	0.47993946075439453	0.295	0.295	4.827178955078125	0.25	0.25	0.005541563034057617	0.29	0.29	0.15433430671691895	0.345	0.345	0.0028553009033203125	0.16	0.16	0.012225866317749023	0.23	0.23	0.008715391159057617	0.23	0.23	540.4285254478455	0.29	0.29	6.037485122680664	0.28	0.28	6.456771373748779	0.18	0.18	8.582506656646729	0.23	0.23	14.542372226715088	0.16	0.16	2.195584774017334	S	77
0.22	0.22	0.005667448043823242	0.255	0.255	0.07590746879577637	0.195	0.195	0.6166799068450928	0.26	0.26	5.722557783126831	0.205	0.205	0.004427433013916016	0.3	0.3	0.04304075241088867	0.305	0.305	0.002594470977783203	0.195	0.195	0.010932445526123047	0.185	0.185	0.006070613861083984	0.185	0.185	549.9275422096252	0.235	0.235	6.879940509796143	0.25	0.25	6.27251672744751	0.14	0.14	8.541479349136353	0.14	0.14	11.91156005859375	0.105	0.105	2.479674816131592	S	78
0.315	0.315	0.00536346435546875	0.345	0.345	0.09098696708679199	0.29	0.29	0.5998249053955078	0.25	0.25	6.140760660171509	0.27	0.27	0.0043756961822509766	0.295	0.295	0.12848210334777832	0.35	0.35	0.003100156784057617	0.105	0.105	0.012124300003051758	0.255	0.255	0.01800394058227539	0.255	0.255	480.72306871414185	0.31	0.31	5.112033843994141	0.32	0.32	6.397170066833496	0.18	0.18	8.403334379196167	0.18	0.18	13.791539669036865	0.225	0.225	2.161597728729248	S	79
