sklearn_dt_f1-micro	sklearn_dt_accuracy	sklearn_dt_time	sklearn_rf_f1-micro	sklearn_rf_accuracy	sklearn_rf_time	product_dt_f1-micro	product_dt_accuracy	product_dt_time	product_rf_f1-micro	product_rf_accuracy	product_rf_time	tangent_dt_f1-micro	tangent_dt_accuracy	tangent_dt_time	tangent_rf_f1-micro	tangent_rf_accuracy	tangent_rf_time	knn_f1-micro	knn_accuracy	knn_time	ps_perceptron_f1-micro	ps_perceptron_accuracy	ps_perceptron_time	svm_f1-micro	svm_accuracy	svm_time	ps_svm_f1-micro	ps_svm_accuracy	ps_svm_time	ambient_mlp_f1-micro	ambient_mlp_accuracy	ambient_mlp_time	tangent_mlp_f1-micro	tangent_mlp_accuracy	tangent_mlp_time	ambient_gnn_f1-micro	ambient_gnn_accuracy	ambient_gnn_time	kappa_gcn_f1-micro	kappa_gcn_accuracy	kappa_gcn_time	product_mlr_f1-micro	product_mlr_accuracy	product_mlr_time	curvature	seed
0.355	0.355	0.0012197494506835938	0.385	0.385	0.03442215919494629	0.37	0.37	0.009401082992553711	0.375	0.375	0.0987558364868164	0.34	0.34	0.0009148120880126953	0.35	0.35	0.0325932502746582	0.4	0.4	0.0023844242095947266	0.195	0.195	0.01030111312866211	0.195	0.195	0.0503077507019043	0.18	0.18	1.4212775230407715	0.185	0.185	4.135098457336426	0.27	0.27	4.108523368835449	0.085	0.085	6.018511056900024	0.11	0.11	8.075483798980713	0.27	0.27	2.2637271881103516	-4.0	0
0.345	0.345	0.0011627674102783203	0.345	0.345	0.036683082580566406	0.41	0.41	0.0162050724029541	0.45	0.45	0.10027956962585449	0.39	0.39	0.0009050369262695312	0.425	0.425	0.03281068801879883	0.45	0.45	0.0024280548095703125	0.125	0.125	0.010358572006225586	0.15	0.15	0.017296791076660156	0.205	0.205	1.462766170501709	0.24	0.24	4.3567891120910645	0.39	0.39	4.339591026306152	0.235	0.235	6.059556007385254	0.15	0.15	8.280130863189697	0.325	0.325	2.812021017074585	-4.0	1
0.29	0.29	0.0011680126190185547	0.27	0.27	0.03373074531555176	0.31	0.31	0.00940847396850586	0.325	0.325	0.09962105751037598	0.31	0.31	0.0009264945983886719	0.34	0.34	0.03343510627746582	0.34	0.34	0.0024127960205078125	0.165	0.165	0.010480403900146484	0.2	0.2	0.03705573081970215	0.205	0.205	1.4254353046417236	0.21	0.21	4.3591697216033936	0.28	0.28	4.367972135543823	0.2	0.2	6.080568790435791	0.2	0.2	8.02353549003601	0.255	0.255	2.759373188018799	-4.0	2
0.37	0.37	0.0011816024780273438	0.375	0.375	0.034348249435424805	0.41	0.41	0.015445470809936523	0.465	0.465	0.10155606269836426	0.345	0.345	0.0009136199951171875	0.37	0.37	0.03629136085510254	0.415	0.415	0.002546548843383789	0.145	0.145	0.01036381721496582	0.21	0.21	0.009085893630981445	0.215	0.215	1.4802989959716797	0.24	0.24	4.155644416809082	0.27	0.27	4.270826578140259	0.325	0.325	5.8704633712768555	0.34	0.34	7.892476558685303	0.305	0.305	2.7645680904388428	-4.0	3
0.385	0.385	0.0011785030364990234	0.355	0.355	0.03362250328063965	0.39	0.39	0.013267993927001953	0.455	0.455	0.10343527793884277	0.375	0.375	0.0008900165557861328	0.36	0.36	0.03420710563659668	0.445	0.445	0.002469301223754883	0.285	0.285	0.010422706604003906	0.055	0.055	0.016353368759155273	0.285	0.285	1.4386396408081055	0.36	0.36	4.389503002166748	0.38	0.38	4.191448450088501	0.285	0.285	5.905200719833374	0.36	0.36	7.937971115112305	0.275	0.275	2.7692525386810303	-4.0	4
0.31	0.31	0.0011794567108154297	0.3	0.3	0.03296709060668945	0.31	0.31	0.009191513061523438	0.35	0.35	0.10180044174194336	0.35	0.35	0.0009112358093261719	0.35	0.35	0.03524947166442871	0.435	0.435	0.002424955368041992	0.18	0.18	0.010365724563598633	0.145	0.145	0.013769149780273438	0.145	0.145	1.4417836666107178	0.145	0.145	4.3300111293792725	0.145	0.145	4.16435980796814	0.105	0.105	5.830324172973633	0.105	0.105	8.087121963500977	0.21	0.21	2.8604493141174316	-4.0	5
0.255	0.255	0.0012118816375732422	0.26	0.26	0.03347587585449219	0.335	0.335	0.014394283294677734	0.335	0.335	0.10123085975646973	0.265	0.265	0.0009298324584960938	0.275	0.275	0.03377866744995117	0.35	0.35	0.002561330795288086	0.145	0.145	0.010444879531860352	0.155	0.155	0.007032871246337891	0.215	0.215	1.4848294258117676	0.235	0.235	4.398947477340698	0.245	0.245	4.350984334945679	0.045	0.045	5.954281568527222	0.145	0.145	7.956108331680298	0.27	0.27	2.7690770626068115	-4.0	6
0.31	0.31	0.0012066364288330078	0.285	0.285	0.033335208892822266	0.31	0.31	0.009171724319458008	0.325	0.325	0.10151958465576172	0.3	0.3	0.0009088516235351562	0.305	0.305	0.035064697265625	0.31	0.31	0.0024046897888183594	0.13	0.13	0.010461807250976562	0.13	0.13	0.009364128112792969	0.165	0.165	1.452974796295166	0.24	0.24	4.225438833236694	0.22	0.22	4.205384731292725	0.17	0.17	5.818767309188843	0.085	0.085	7.976858139038086	0.27	0.27	2.771151304244995	-4.0	7
0.31	0.31	0.0012195110321044922	0.285	0.285	0.0355379581451416	0.32	0.32	0.0158383846282959	0.305	0.305	0.09968066215515137	0.305	0.305	0.0009160041809082031	0.295	0.295	0.03388857841491699	0.385	0.385	0.002446413040161133	0.135	0.135	0.010448455810546875	0.16	0.16	0.02139115333557129	0.27	0.27	1.5487101078033447	0.27	0.27	4.272187948226929	0.27	0.27	4.179542064666748	0.27	0.27	5.829952239990234	0.27	0.27	7.941888809204102	0.245	0.245	2.7716994285583496	-4.0	8
0.285	0.285	0.0012428760528564453	0.245	0.245	0.03467416763305664	0.315	0.315	0.01348114013671875	0.34	0.34	0.09955930709838867	0.31	0.31	0.0009062290191650391	0.345	0.345	0.03364896774291992	0.35	0.35	0.002469778060913086	0.135	0.135	0.01049494743347168	0.135	0.135	0.02483201026916504	0.18	0.18	1.3975658416748047	0.17	0.17	4.433261871337891	0.235	0.235	4.450181245803833	0.13	0.13	10.699082612991333	0.13	0.13	14.469299793243408	0.135	0.135	2.7753167152404785	-4.0	9
0.295	0.295	0.001190185546875	0.31	0.31	0.03383612632751465	0.325	0.325	0.013207197189331055	0.36	0.36	0.10145688056945801	0.305	0.305	0.0009129047393798828	0.345	0.345	0.03478097915649414	0.34	0.34	0.0024733543395996094	0.235	0.235	0.010349512100219727	0.165	0.165	0.006782054901123047	0.19	0.19	1.4496114253997803	0.225	0.225	4.293289661407471	0.295	0.295	4.175362825393677	0.075	0.075	5.800722360610962	0.165	0.165	7.917045831680298	0.25	0.25	2.78098464012146	-2.0	10
0.285	0.285	0.0012149810791015625	0.245	0.245	0.034851789474487305	0.33	0.33	0.012665748596191406	0.345	0.345	0.1012275218963623	0.285	0.285	0.0009222030639648438	0.32	0.32	0.03317093849182129	0.345	0.345	0.002425670623779297	0.12	0.12	0.010430574417114258	0.24	0.24	0.00627446174621582	0.125	0.125	1.4493358135223389	0.26	0.26	4.18982720375061	0.28	0.28	4.156673192977905	0.08	0.08	5.761209487915039	0.24	0.24	7.932170152664185	0.29	0.29	2.5938243865966797	-2.0	11
0.3	0.3	0.0011968612670898438	0.32	0.32	0.03354668617248535	0.255	0.255	0.01338338851928711	0.355	0.355	0.10137009620666504	0.305	0.305	0.0009052753448486328	0.32	0.32	0.03444361686706543	0.36	0.36	0.002439260482788086	0.16	0.16	0.010360240936279297	0.225	0.225	0.006750583648681641	0.22	0.22	1.4708752632141113	0.235	0.235	4.332326173782349	0.295	0.295	4.379279375076294	0.155	0.155	5.867814540863037	0.155	0.155	8.01432752609253	0.235	0.235	1.5203619003295898	-2.0	12
0.325	0.325	0.0012242794036865234	0.295	0.295	0.03371930122375488	0.295	0.295	0.009429693222045898	0.3	0.3	0.10374784469604492	0.28	0.28	0.0008933544158935547	0.315	0.315	0.03523111343383789	0.285	0.285	0.002508878707885742	0.17	0.17	0.010431051254272461	0.15	0.15	0.006876707077026367	0.135	0.135	1.4662997722625732	0.235	0.235	7.456212282180786	0.235	0.235	7.832524061203003	0.115	0.115	10.630316257476807	0.185	0.185	9.661194086074829	0.22	0.22	2.770718812942505	-2.0	13
0.365	0.365	0.0012047290802001953	0.335	0.335	0.03308439254760742	0.325	0.325	0.01572442054748535	0.335	0.335	0.1023712158203125	0.38	0.38	0.0009245872497558594	0.345	0.345	0.03533601760864258	0.305	0.305	0.002476930618286133	0.145	0.145	0.010416746139526367	0.265	0.265	0.0061800479888916016	0.265	0.265	1.429811716079712	0.075	0.075	4.200345516204834	0.26	0.26	4.221453905105591	0.075	0.075	5.821342468261719	0.15	0.15	8.011247634887695	0.26	0.26	2.7600789070129395	-2.0	14
0.295	0.295	0.0012106895446777344	0.3	0.3	0.03260183334350586	0.315	0.315	0.015540122985839844	0.365	0.365	0.1011357307434082	0.28	0.28	0.0009150505065917969	0.35	0.35	0.0357213020324707	0.38	0.38	0.0024633407592773438	0.165	0.165	0.010350465774536133	0.165	0.165	0.007087230682373047	0.205	0.205	1.507286787033081	0.275	0.275	4.1981329917907715	0.3	0.3	4.15549635887146	0.085	0.085	5.8528571128845215	0.065	0.065	8.154163599014282	0.235	0.235	2.768354892730713	-2.0	15
0.37	0.37	0.001199960708618164	0.365	0.365	0.033265113830566406	0.355	0.355	0.016777992248535156	0.385	0.385	0.10664200782775879	0.345	0.345	0.0009341239929199219	0.42	0.42	0.033392906188964844	0.425	0.425	0.0024919509887695312	0.145	0.145	0.01039743423461914	0.17	0.17	0.005846977233886719	0.3	0.3	1.5095441341400146	0.3	0.3	4.208455801010132	0.32	0.32	4.203216791152954	0.3	0.3	6.013469696044922	0.3	0.3	8.178825616836548	0.34	0.34	2.8452248573303223	-2.0	16
0.265	0.265	0.0011887550354003906	0.3	0.3	0.03188729286193848	0.325	0.325	0.016504526138305664	0.345	0.345	0.0993034839630127	0.315	0.315	0.0009248256683349609	0.315	0.315	0.03314805030822754	0.35	0.35	0.0024285316467285156	0.155	0.155	0.010448694229125977	0.225	0.225	0.006490468978881836	0.225	0.225	1.5113749504089355	0.29	0.29	4.4361021518707275	0.085	0.085	4.405488967895508	0.12	0.12	6.108351230621338	0.225	0.225	8.289405345916748	0.275	0.275	2.3637847900390625	-2.0	17
0.385	0.385	0.0011909008026123047	0.39	0.39	0.03389120101928711	0.47	0.47	0.013731956481933594	0.415	0.415	0.10398364067077637	0.41	0.41	0.0009446144104003906	0.42	0.42	0.03700733184814453	0.415	0.415	0.002573728561401367	0.16	0.16	0.010433673858642578	0.175	0.175	0.005598306655883789	0.395	0.395	1.6187381744384766	0.16	0.16	4.62916898727417	0.4	0.4	4.865598201751709	0.175	0.175	10.60487961769104	0.4	0.4	12.079054355621338	0.435	0.435	2.7082784175872803	-2.0	18
0.415	0.415	0.0011920928955078125	0.45	0.45	0.2213430404663086	0.435	0.435	0.017696142196655273	0.445	0.445	0.10195350646972656	0.39	0.39	0.0009222030639648438	0.47	0.47	0.034332275390625	0.52	0.52	0.0024483203887939453	0.145	0.145	0.010465145111083984	0.145	0.145	0.0066835880279541016	0.125	0.125	1.441774606704712	0.32	0.32	4.1706624031066895	0.31	0.31	4.201925754547119	0.185	0.185	5.831279754638672	0.145	0.145	7.907562494277954	0.19	0.19	2.483246326446533	-2.0	19
0.36	0.36	0.0012059211730957031	0.36	0.36	0.03319525718688965	0.36	0.36	0.013520956039428711	0.435	0.435	0.09904742240905762	0.42	0.42	0.0009024143218994141	0.395	0.395	0.03470420837402344	0.32	0.32	0.0024271011352539062	0.135	0.135	0.010465860366821289	0.315	0.315	0.006920576095581055	0.31	0.31	1.4532411098480225	0.31	0.31	4.196617364883423	0.455	0.455	4.190059423446655	0.115	0.115	5.79850172996521	0.315	0.315	8.073580980300903	0.345	0.345	2.1246986389160156	-1.0	20
0.375	0.375	0.0012054443359375	0.375	0.375	0.03507065773010254	0.41	0.41	0.013741731643676758	0.425	0.425	0.10242247581481934	0.375	0.375	0.0009179115295410156	0.425	0.425	0.03483104705810547	0.325	0.325	0.002550840377807617	0.17	0.17	0.010625362396240234	0.315	0.315	0.005820274353027344	0.315	0.315	1.5124757289886475	0.325	0.325	4.298507452011108	0.395	0.395	4.1634202003479	0.17	0.17	6.017524480819702	0.17	0.17	7.9885571002960205	0.37	0.37	2.599719762802124	-1.0	21
0.245	0.245	0.0012180805206298828	0.27	0.27	0.03405189514160156	0.27	0.27	0.014785528182983398	0.305	0.305	0.10082864761352539	0.255	0.255	0.0009243488311767578	0.275	0.275	0.03438162803649902	0.32	0.32	0.0025331974029541016	0.185	0.185	0.010457277297973633	0.165	0.165	0.007106781005859375	0.165	0.165	1.5434331893920898	0.195	0.195	4.411145925521851	0.28	0.28	4.300765752792358	0.12	0.12	6.361854791641235	0.185	0.185	8.100826263427734	0.18	0.18	2.761007308959961	-1.0	22
0.315	0.315	0.001188516616821289	0.31	0.31	0.034116506576538086	0.345	0.345	0.015396356582641602	0.345	0.345	0.1022496223449707	0.28	0.28	0.0009164810180664062	0.305	0.305	0.03237295150756836	0.31	0.31	0.0024802684783935547	0.14	0.14	0.010476112365722656	0.165	0.165	0.0071868896484375	0.165	0.165	1.462451696395874	0.285	0.285	4.23868989944458	0.315	0.315	4.286166429519653	0.165	0.165	5.7950828075408936	0.045	0.045	8.20273470878601	0.27	0.27	2.8382649421691895	-1.0	23
0.27	0.27	0.0011925697326660156	0.275	0.275	0.035144805908203125	0.25	0.25	0.016304969787597656	0.24	0.24	0.10041213035583496	0.215	0.215	0.000934600830078125	0.245	0.245	0.03500103950500488	0.335	0.335	0.002499818801879883	0.135	0.135	0.01051187515258789	0.135	0.135	0.0069506168365478516	0.115	0.115	1.4966206550598145	0.275	0.275	4.417335033416748	0.225	0.225	4.368471145629883	0.145	0.145	6.157513856887817	0.145	0.145	8.297391891479492	0.235	0.235	2.813939094543457	-1.0	24
0.375	0.375	0.0012149810791015625	0.31	0.31	0.03563809394836426	0.315	0.315	0.01615738868713379	0.315	0.315	0.10083484649658203	0.39	0.39	0.0009617805480957031	0.395	0.395	0.03247690200805664	0.345	0.345	0.002488851547241211	0.18	0.18	0.010575294494628906	0.185	0.185	0.006443023681640625	0.185	0.185	1.472229242324829	0.27	0.27	4.356146574020386	0.185	0.185	4.242624521255493	0.185	0.185	9.317766904830933	0.155	0.155	14.497955322265625	0.265	0.265	2.8948023319244385	-1.0	25
0.28	0.28	0.001226186752319336	0.23	0.23	0.03454756736755371	0.275	0.275	0.009709596633911133	0.345	0.345	0.10290122032165527	0.31	0.31	0.0009641647338867188	0.275	0.275	0.03327298164367676	0.34	0.34	0.002466917037963867	0.155	0.155	0.010647773742675781	0.14	0.14	0.006693840026855469	0.14	0.14	1.4662346839904785	0.265	0.265	4.342673301696777	0.3	0.3	4.272444248199463	0.15	0.15	6.053035259246826	0.075	0.075	8.421743869781494	0.18	0.18	2.788003444671631	-1.0	26
0.285	0.285	0.001214742660522461	0.295	0.295	0.03300166130065918	0.325	0.325	0.013394832611083984	0.325	0.325	0.10214877128601074	0.28	0.28	0.0009431838989257812	0.315	0.315	0.034331560134887695	0.235	0.235	0.0024738311767578125	0.205	0.205	0.010534524917602539	0.165	0.165	0.00639033317565918	0.165	0.165	1.4980947971343994	0.185	0.185	4.257733345031738	0.29	0.29	4.285261392593384	0.205	0.205	6.303772211074829	0.065	0.065	9.172420501708984	0.315	0.315	2.8014957904815674	-1.0	27
0.23	0.23	0.0012502670288085938	0.275	0.275	0.03354644775390625	0.235	0.235	0.009765386581420898	0.305	0.305	0.10345602035522461	0.24	0.24	0.0009968280792236328	0.235	0.235	0.034605979919433594	0.26	0.26	0.002642393112182617	0.1	0.1	0.010582685470581055	0.17	0.17	0.0074236392974853516	0.175	0.175	1.5159876346588135	0.245	0.245	7.674638509750366	0.205	0.205	7.7390687465667725	0.18	0.18	6.158189535140991	0.1	0.1	8.364193439483643	0.25	0.25	2.8510799407958984	-1.0	28
0.26	0.26	0.0013804435729980469	0.28	0.28	0.03292226791381836	0.285	0.285	0.017711877822875977	0.28	0.28	0.10347867012023926	0.275	0.275	0.0009348392486572266	0.28	0.28	0.03291440010070801	0.315	0.315	0.002665281295776367	0.15	0.15	0.010585784912109375	0.185	0.185	0.006588935852050781	0.19	0.19	1.5743615627288818	0.225	0.225	4.386440277099609	0.23	0.23	4.34037971496582	0.185	0.185	5.9727783203125	0.18	0.18	8.13151741027832	0.215	0.215	2.7737927436828613	-1.0	29
0.31	0.31	0.0012192726135253906	0.31	0.31	0.03396153450012207	0.305	0.305	0.009611845016479492	0.3	0.3	0.10317063331604004	0.29	0.29	0.0009613037109375	0.31	0.31	0.03327012062072754	0.275	0.275	0.0024847984313964844	0.17	0.17	0.010447978973388672	0.28	0.28	0.0061681270599365234	0.275	0.275	1.5217723846435547	0.29	0.29	4.68935751914978	0.285	0.285	4.421893119812012	0.14	0.14	6.0228917598724365	0.14	0.14	8.250372409820557	0.275	0.275	2.7502615451812744	-0.5	30
0.29	0.29	0.001222372055053711	0.295	0.295	0.034622907638549805	0.31	0.31	0.009450435638427734	0.365	0.365	0.10042142868041992	0.315	0.315	0.0009198188781738281	0.315	0.315	0.03525376319885254	0.24	0.24	0.002391338348388672	0.155	0.155	0.010491132736206055	0.28	0.28	0.006550788879394531	0.27	0.27	1.5177462100982666	0.28	0.28	4.4113428592681885	0.335	0.335	4.432523965835571	0.085	0.085	6.0944437980651855	0.1	0.1	8.333189487457275	0.28	0.28	2.7957820892333984	-0.5	31
0.275	0.275	0.0012176036834716797	0.29	0.29	0.032637596130371094	0.315	0.315	0.014295578002929688	0.33	0.33	0.10643482208251953	0.295	0.295	0.0009758472442626953	0.33	0.33	0.035607337951660156	0.3	0.3	0.0025844573974609375	0.075	0.075	0.010661125183105469	0.23	0.23	0.0069081783294677734	0.195	0.195	1.5641553401947021	0.315	0.315	6.2580413818359375	0.265	0.265	7.953797340393066	0.21	0.21	10.614655256271362	0.21	0.21	8.868958473205566	0.275	0.275	2.8658254146575928	-0.5	32
0.235	0.235	0.0012314319610595703	0.24	0.24	0.04305911064147949	0.255	0.255	0.01680469512939453	0.29	0.29	0.10419225692749023	0.24	0.24	0.0009350776672363281	0.235	0.235	0.03361940383911133	0.19	0.19	0.0026581287384033203	0.25	0.25	0.010816574096679688	0.25	0.25	0.0066165924072265625	0.245	0.245	1.5864636898040771	0.25	0.25	7.7293877601623535	0.255	0.255	7.766202688217163	0.09	0.09	10.973448991775513	0.25	0.25	13.054620027542114	0.235	0.235	2.8576419353485107	-0.5	33
