sklearn_dt_f1-micro	sklearn_dt_accuracy	sklearn_dt_time	sklearn_rf_f1-micro	sklearn_rf_accuracy	sklearn_rf_time	product_dt_f1-micro	product_dt_accuracy	product_dt_time	product_rf_f1-micro	product_rf_accuracy	product_rf_time	tangent_dt_f1-micro	tangent_dt_accuracy	tangent_dt_time	tangent_rf_f1-micro	tangent_rf_accuracy	tangent_rf_time	knn_f1-micro	knn_accuracy	knn_time	ps_perceptron_f1-micro	ps_perceptron_accuracy	ps_perceptron_time	ambient_mlp_f1-micro	ambient_mlp_accuracy	ambient_mlp_time	ambient_gnn_f1-micro	ambient_gnn_accuracy	ambient_gnn_time	kappa_gcn_f1-micro	kappa_gcn_accuracy	kappa_gcn_time	product_mlr_f1-micro	product_mlr_accuracy	product_mlr_time	dataset	seed	sklearn_dt_rmse	sklearn_rf_rmse	product_dt_rmse	product_rf_rmse	tangent_dt_rmse	tangent_rf_rmse	knn_rmse	ambient_mlp_rmse	ambient_gnn_rmse	kappa_gcn_rmse	product_mlr_rmse
0.835	0.835	0.0014612674713134766	0.875	0.875	0.03629469871520996	0.895	0.895	0.0312800407409668	0.925	0.925	0.3361194133758545	0.865	0.865	0.0011529922485351562	0.885	0.885	0.03367900848388672	0.95	0.95	0.002261638641357422	0.76	0.76	0.0033996105194091797	0.715	0.715	34.14513611793518	0.75	0.75	42.22631525993347	0.665	0.665	44.07838463783264	0.665	0.665	32.52739238739014	landmasses	0											
0.835	0.835	0.0013577938079833984	0.87	0.87	0.03342604637145996	0.865	0.865	0.02990412712097168	0.89	0.89	0.32224225997924805	0.855	0.855	0.001125335693359375	0.845	0.845	0.033020734786987305	0.925	0.925	0.0022652149200439453	0.685	0.685	0.0037565231323242188	0.705	0.705	35.39029145240784	0.805	0.805	44.22650933265686	0.775	0.775	44.044947385787964	0.635	0.635	32.15949845314026	landmasses	1											
0.87	0.87	0.0013973712921142578	0.885	0.885	0.4122180938720703	0.84	0.84	0.03746151924133301	0.885	0.885	0.30190205574035645	0.865	0.865	0.0010900497436523438	0.84	0.84	0.03444814682006836	0.905	0.905	0.0022852420806884766	0.65	0.65	0.004117727279663086	0.655	0.655	34.40014600753784	0.765	0.765	44.76016807556152	0.685	0.685	45.32151961326599	0.635	0.635	34.83671474456787	landmasses	2											
0.835	0.835	0.0013515949249267578	0.85	0.85	0.033889055252075195	0.865	0.865	0.026462793350219727	0.855	0.855	0.28466057777404785	0.88	0.88	0.0010936260223388672	0.835	0.835	0.03536534309387207	0.94	0.94	0.002295255661010742	0.665	0.665	0.0040967464447021484	0.67	0.67	34.00847887992859	0.735	0.735	43.49496531486511	0.77	0.77	45.635297536849976	0.63	0.63	33.941879749298096	landmasses	3											
0.82	0.82	0.0013947486877441406	0.87	0.87	0.03373312950134277	0.855	0.855	0.024921894073486328	0.89	0.89	0.29429125785827637	0.84	0.84	0.0011763572692871094	0.84	0.84	0.03250384330749512	0.915	0.915	0.0023424625396728516	0.71	0.71	0.0037779808044433594	0.725	0.725	34.17657446861267	0.77	0.77	44.92957639694214	0.66	0.66	43.72963213920593	0.66	0.66	33.963155031204224	landmasses	4											
0.87	0.87	0.0013699531555175781	0.895	0.895	0.03327441215515137	0.88	0.88	0.030655622482299805	0.88	0.88	0.3306410312652588	0.875	0.875	0.0011563301086425781	0.875	0.875	0.035266876220703125	0.92	0.92	0.0023360252380371094	0.72	0.72	0.003760099411010742	0.72	0.72	34.032636880874634	0.755	0.755	44.957561016082764	0.76	0.76	45.391875982284546	0.665	0.665	29.930835247039795	landmasses	5											
0.8	0.8	0.001413583755493164	0.81	0.81	0.03541445732116699	0.855	0.855	0.02568960189819336	0.82	0.82	0.2985115051269531	0.81	0.81	0.0011136531829833984	0.805	0.805	0.03443741798400879	0.875	0.875	0.0021588802337646484	0.69	0.69	0.004113674163818359	0.68	0.68	34.94207143783569	0.775	0.775	44.11175894737244	0.685	0.685	45.44986367225647	0.63	0.63	33.39508414268494	landmasses	6											
0.84	0.84	0.0013797283172607422	0.855	0.855	0.03401494026184082	0.91	0.91	0.026245594024658203	0.865	0.865	0.3141348361968994	0.845	0.845	0.0011243820190429688	0.845	0.845	0.03226327896118164	0.915	0.915	0.0023751258850097656	0.71	0.71	0.004157543182373047	0.695	0.695	34.3472101688385	0.8	0.8	43.67509913444519	0.635	0.635	44.40317702293396	0.65	0.65	32.44842886924744	landmasses	7											
0.825	0.825	0.0014519691467285156	0.815	0.815	0.033178091049194336	0.84	0.84	0.02644491195678711	0.88	0.88	0.30148935317993164	0.825	0.825	0.0011315345764160156	0.82	0.82	0.03452801704406738	0.915	0.915	0.0023560523986816406	0.72	0.72	0.003022432327270508	0.69	0.69	34.45458221435547	0.775	0.775	45.76932740211487	0.72	0.72	44.790345668792725	0.72	0.72	34.09561586380005	landmasses	8											
0.82	0.82	0.0013663768768310547	0.865	0.865	0.03420710563659668	0.845	0.845	0.02681255340576172	0.85	0.85	0.29881930351257324	0.855	0.855	0.0010881423950195312	0.865	0.865	0.03309893608093262	0.915	0.915	0.002290487289428711	0.675	0.675	0.003736734390258789	0.735	0.735	35.12159514427185	0.79	0.79	44.40518403053284	0.78	0.78	44.425848960876465	0.625	0.625	34.11821937561035	landmasses	9											
0.7735849056603774	0.7735849056603774	0.0016069412231445312	0.7641509433962265	0.7641509433962265	0.03406643867492676	0.7641509433962265	0.7641509433962265	0.008395671844482422	0.7641509433962265	0.7641509433962265	0.10044384002685547	0.7641509433962265	0.7641509433962265	0.0017199516296386719	0.7735849056603774	0.7735849056603774	0.03518819808959961	0.5188679245283019	0.5188679245283019	0.005186319351196289	0.5377358490566038	0.5377358490566038	0.004338741302490234	0.49056603773584906	0.49056603773584906	35.245769739151	0.5660377358490566	0.5660377358490566	44.39811849594116	0.5660377358490566	0.5660377358490566	352.4062213897705	0.4528301886792453	0.4528301886792453	127.75122284889221	neuron_33	0											
0.8018867924528302	0.8018867924528302	0.0017158985137939453	0.7641509433962265	0.7641509433962265	0.034976959228515625	0.7358490566037735	0.7358490566037735	0.008461236953735352	0.7641509433962265	0.7641509433962265	0.10374903678894043	0.7169811320754716	0.7169811320754716	0.0017883777618408203	0.7358490566037735	0.7358490566037735	0.03508496284484863	0.49056603773584906	0.49056603773584906	0.005580902099609375	0.5849056603773585	0.5849056603773585	0.004338741302490234	0.41509433962264153	0.41509433962264153	34.55207896232605	0.41509433962264153	0.41509433962264153	44.15234923362732	0.41509433962264153	0.41509433962264153	350.9962303638458	0.41509433962264153	0.41509433962264153	125.95766186714172	neuron_33	1											
0.8113207547169812	0.8113207547169812	0.0016014575958251953	0.8113207547169812	0.8113207547169812	0.037039756774902344	0.7924528301886793	0.7924528301886793	0.008393049240112305	0.8113207547169812	0.8113207547169812	0.1300203800201416	0.7924528301886793	0.7924528301886793	0.0017840862274169922	0.8018867924528302	0.8018867924528302	0.03398919105529785	0.5566037735849056	0.5566037735849056	0.005132913589477539	0.5754716981132075	0.5754716981132075	0.004278421401977539	0.41509433962264153	0.41509433962264153	33.96694016456604	0.41509433962264153	0.41509433962264153	44.50026488304138	0.42452830188679247	0.42452830188679247	350.49426341056824	0.42452830188679247	0.42452830188679247	130.81839656829834	neuron_33	2											
0.7547169811320755	0.7547169811320755	0.0016164779663085938	0.7547169811320755	0.7547169811320755	0.036641597747802734	0.7452830188679245	0.7452830188679245	0.00831151008605957	0.7358490566037735	0.7358490566037735	0.12262129783630371	0.7452830188679245	0.7452830188679245	0.001707315444946289	0.7264150943396226	0.7264150943396226	0.03521418571472168	0.46226415094339623	0.46226415094339623	0.0051229000091552734	0.5377358490566038	0.5377358490566038	0.0043277740478515625	0.4811320754716981	0.4811320754716981	35.38915657997131	0.4811320754716981	0.4811320754716981	44.91356182098389	0.4811320754716981	0.4811320754716981	351.2565219402313	0.4811320754716981	0.4811320754716981	129.80232644081116	neuron_33	3											
0.7547169811320755	0.7547169811320755	0.0016431808471679688	0.8113207547169812	0.8113207547169812	0.034639596939086914	0.7358490566037735	0.7358490566037735	0.008427143096923828	0.7452830188679245	0.7452830188679245	0.1132514476776123	0.7547169811320755	0.7547169811320755	0.001745462417602539	0.7547169811320755	0.7547169811320755	0.03408670425415039	0.4716981132075472	0.4716981132075472	0.005169868469238281	0.5754716981132075	0.5754716981132075	0.004346370697021484	0.42452830188679247	0.42452830188679247	34.41434979438782	0.42452830188679247	0.42452830188679247	44.3987934589386	0.5566037735849056	0.5566037735849056	344.196653842926	0.42452830188679247	0.42452830188679247	141.00588536262512	neuron_33	4											
0.8113207547169812	0.8113207547169812	0.001688241958618164	0.7924528301886793	0.7924528301886793	0.03304910659790039	0.7641509433962265	0.7641509433962265	0.008510112762451172	0.7924528301886793	0.7924528301886793	0.1138908863067627	0.7830188679245284	0.7830188679245284	0.0017745494842529297	0.7735849056603774	0.7735849056603774	0.03583574295043945	0.4716981132075472	0.4716981132075472	0.005190134048461914	0.5188679245283019	0.5188679245283019	0.004347801208496094	0.5377358490566038	0.5377358490566038	35.446136236190796	0.5377358490566038	0.5377358490566038	44.072012424468994	0.5377358490566038	0.5377358490566038	353.9104206562042	0.5377358490566038	0.5377358490566038	164.31171488761902	neuron_33	5											
0.8773584905660378	0.8773584905660378	0.0016934871673583984	0.8679245283018868	0.8679245283018868	0.03571963310241699	0.8679245283018868	0.8679245283018868	0.008625984191894531	0.8773584905660378	0.8773584905660378	0.11329030990600586	0.8773584905660378	0.8773584905660378	0.0017490386962890625	0.8867924528301887	0.8867924528301887	0.03327131271362305	0.42452830188679247	0.42452830188679247	0.005153656005859375	0.5754716981132075	0.5754716981132075	0.004410505294799805	0.42452830188679247	0.42452830188679247	35.146164417266846	0.49056603773584906	0.49056603773584906	44.90114188194275	0.42452830188679247	0.42452830188679247	352.4875853061676	0.5188679245283019	0.5188679245283019	141.9616243839264	neuron_33	6											
0.7924528301886793	0.7924528301886793	0.0016987323760986328	0.8018867924528302	0.8018867924528302	0.035462141036987305	0.7924528301886793	0.7924528301886793	0.00841379165649414	0.7830188679245284	0.7830188679245284	0.10535812377929688	0.7924528301886793	0.7924528301886793	0.0017387866973876953	0.7452830188679245	0.7452830188679245	0.03512001037597656	0.5566037735849056	0.5566037735849056	0.005117893218994141	0.5377358490566038	0.5377358490566038	0.004358768463134766	0.4528301886792453	0.4528301886792453	35.21577191352844	0.46226415094339623	0.46226415094339623	44.400676250457764	0.46226415094339623	0.46226415094339623	352.2980890274048	0.5	0.5	141.38089632987976	neuron_33	7											
0.7641509433962265	0.7641509433962265	0.001645803451538086	0.7547169811320755	0.7547169811320755	0.034867048263549805	0.7358490566037735	0.7358490566037735	0.010537862777709961	0.7452830188679245	0.7452830188679245	0.12308382987976074	0.7452830188679245	0.7452830188679245	0.0017642974853515625	0.7547169811320755	0.7547169811320755	0.03466296195983887	0.5754716981132075	0.5754716981132075	0.00510096549987793	0.5094339622641509	0.5094339622641509	0.0043506622314453125	0.46226415094339623	0.46226415094339623	34.97269868850708	0.5094339622641509	0.5094339622641509	44.87139320373535	0.5094339622641509	0.5094339622641509	352.86165285110474	0.5094339622641509	0.5094339622641509	127.49953174591064	neuron_33	8											
0.7264150943396226	0.7264150943396226	0.0016248226165771484	0.7358490566037735	0.7358490566037735	0.036099910736083984	0.7358490566037735	0.7358490566037735	0.010909795761108398	0.7358490566037735	0.7358490566037735	0.12157320976257324	0.7169811320754716	0.7169811320754716	0.001840353012084961	0.7075471698113207	0.7075471698113207	0.034276723861694336	0.5471698113207547	0.5471698113207547	0.0050373077392578125	0.5188679245283019	0.5188679245283019	0.004359245300292969	0.5094339622641509	0.5094339622641509	34.75650763511658	0.5094339622641509	0.5094339622641509	43.74601697921753	0.5094339622641509	0.5094339622641509	351.98359537124634	0.5094339622641509	0.5094339622641509	133.67112922668457	neuron_33	9											
0.61	0.61	0.004202365875244141	0.62	0.62	0.03750109672546387	0.545	0.545	0.0286257266998291	0.635	0.635	0.3312652111053467	0.63	0.63	0.0025556087493896484	0.665	0.665	0.036484718322753906	0.45	0.45	0.006886959075927734	0.59	0.59	0.004342317581176758	0.43	0.43	35.40340566635132	0.41	0.41	45.92494201660156	0.41	0.41	352.98712277412415	0.41	0.41	154.87213969230652	neuron_46	0											
0.6	0.6	0.004610300064086914	0.62	0.62	0.0363316535949707	0.62	0.62	0.034887075424194336	0.595	0.595	0.3538808822631836	0.645	0.645	0.0024003982543945312	0.62	0.62	0.03498697280883789	0.545	0.545	0.006677865982055664	0.51	0.51	0.004378318786621094	0.505	0.505	34.38984704017639	0.505	0.505	46.035109519958496	0.49	0.49	352.58743500709534	0.535	0.535	136.2919888496399	neuron_46	1											
0.565	0.565	0.004206418991088867	0.58	0.58	0.033503055572509766	0.58	0.58	0.0310819149017334	0.66	0.66	0.3293168544769287	0.585	0.585	0.002488851547241211	0.61	0.61	0.036490440368652344	0.46	0.46	0.006704807281494141	0.505	0.505	0.004366397857666016	0.495	0.495	35.256109952926636	0.495	0.495	45.57961463928223	0.495	0.495	352.2733311653137	0.495	0.495	130.38094019889832	neuron_46	2											
0.575	0.575	0.004309654235839844	0.61	0.61	0.034004926681518555	0.58	0.58	0.025101661682128906	0.57	0.57	0.3346750736236572	0.58	0.58	0.002494335174560547	0.545	0.545	0.03490805625915527	0.495	0.495	0.006688594818115234	0.52	0.52	0.004403352737426758	0.515	0.515	34.54947471618652	0.49	0.49	45.962281465530396	0.48	0.48	352.126127243042	0.48	0.48	128.63482213020325	neuron_46	3											
0.6	0.6	0.0043413639068603516	0.6	0.6	0.03534889221191406	0.625	0.625	0.034034013748168945	0.565	0.565	0.2974834442138672	0.54	0.54	0.0024175643920898438	0.55	0.55	0.033455610275268555	0.47	0.47	0.00659942626953125	0.49	0.49	0.004430294036865234	0.43	0.43	34.48383951187134	0.455	0.455	46.7988715171814	0.49	0.49	350.08001255989075	0.41	0.41	128.26140999794006	neuron_46	4											
0.615	0.615	0.00422358512878418	0.65	0.65	0.034131765365600586	0.63	0.63	0.03044891357421875	0.67	0.67	0.34412169456481934	0.64	0.64	0.0024871826171875	0.635	0.635	0.037035226821899414	0.515	0.515	0.006617546081542969	0.53	0.53	0.004359245300292969	0.445	0.445	34.46527934074402	0.465	0.465	45.291531562805176	0.53	0.53	352.44363236427307	0.53	0.53	130.83922338485718	neuron_46	5											
0.655	0.655	0.004257678985595703	0.625	0.625	0.0351560115814209	0.635	0.635	0.030718564987182617	0.66	0.66	0.34087085723876953	0.625	0.625	0.0025055408477783203	0.61	0.61	0.03307700157165527	0.415	0.415	0.006775856018066406	0.48	0.48	0.004436016082763672	0.515	0.515	35.69850468635559	0.515	0.515	45.87539291381836	0.48	0.48	351.850221157074	0.48	0.48	144.91456818580627	neuron_46	6											
0.555	0.555	0.004293680191040039	0.575	0.575	0.034311771392822266	0.575	0.575	0.028562068939208984	0.6	0.6	0.33666539192199707	0.58	0.58	0.0025794506072998047	0.6	0.6	0.03318929672241211	0.54	0.54	0.0065419673919677734	0.55	0.55	0.004347085952758789	0.505	0.505	34.74719023704529	0.505	0.505	45.038639545440674	0.45	0.45	352.80389070510864	0.45	0.45	144.36259865760803	neuron_46	7											
0.615	0.615	0.004274606704711914	0.67	0.67	0.03452253341674805	0.58	0.58	0.03028702735900879	0.62	0.62	0.347705602645874	0.6	0.6	0.0024356842041015625	0.605	0.605	0.03393268585205078	0.555	0.555	0.0066568851470947266	0.495	0.495	0.004361152648925781	0.505	0.505	34.447272539138794	0.505	0.505	45.77840781211853	0.495	0.495	352.8782777786255	0.495	0.495	134.25191855430603	neuron_46	8											
0.61	0.61	0.004283905029296875	0.63	0.63	0.034249305725097656	0.59	0.59	0.029063940048217773	0.62	0.62	0.33295345306396484	0.65	0.65	0.002419710159301758	0.62	0.62	0.03455662727355957	0.455	0.455	0.007154703140258789	0.52	0.52	0.004564046859741211	0.47	0.47	35.82758712768555	0.485	0.485	46.756587505340576	0.48	0.48	351.5874733924866	0.495	0.495	136.6238715648651	neuron_46	9											
		0.001195669174194336			0.033252716064453125			0.03401541709899902			0.38385868072509766			0.0008785724639892578			0.03458142280578613			0.002675294876098633						34.27950072288513			44.02661371231079			79.37824535369873			54.50853633880615	temperature	0	4.600838361160026	4.428506556919201	10.269229197003304	9.583243694743187	8.022944619602566	8.005476226550929	12.80567952121245	18.39537519953136	18.85586613137119		
		0.0012485980987548828			0.0334010124206543			0.03427720069885254			0.4075589179992676			0.0009090900421142578			0.03485870361328125			0.0027153491973876953						34.2738139629364			43.411176681518555			79.37133193016052			55.73353862762451	temperature	1	4.454908496122252	6.969756576720994	7.40187321922557	8.549909024879991	7.125595638417413	9.161420484195018	13.198646294222751	17.752043787426178	18.053023399990874		
		0.0012354850769042969			0.0347132682800293			0.03574800491333008			0.4143669605255127			0.0009255409240722656			0.03497743606567383			0.002642393112182617						35.109253883361816			43.61143398284912			79.41329455375671			55.02142119407654	temperature	2	12.215997064043892	12.084085842618238	12.619438720798142	13.25509508031625	13.919094957869408	13.355279946515665	14.76654414546613	19.948221137483067	20.07176303231543		
		0.0012710094451904297			0.033040523529052734			0.03550076484680176			0.39809203147888184			0.0009140968322753906			0.03341531753540039			0.0027039051055908203						34.79981851577759			44.56329369544983			79.579918384552			55.586485624313354	temperature	3	4.885574996723047	4.375313197884149	5.908104894591957	6.662481087910506	8.406425318917119	8.051484142354536	10.976155611141818	17.735481439108955	17.22877689112439		
		0.0012354850769042969			0.03271341323852539			0.03527379035949707			0.40056538581848145			0.0009052753448486328			0.035639286041259766			0.0026464462280273438						34.43860197067261			43.936848163604736			78.42592263221741			54.29364347457886	temperature	4	4.704337984998357	4.1899491719960285	5.952026874881201	6.4882045336321665	8.963465741361823	7.955299442833653	10.13151982675847	16.311562516433252	16.170374195115958		
		0.0012443065643310547			0.03450775146484375			0.035310983657836914			0.3991990089416504			0.0008955001831054688			0.03488039970397949			0.0026323795318603516						34.65602350234985			43.86375141143799			79.54946660995483			55.25417613983154	temperature	5	8.844247865131981	6.7589586195607385	9.475408805359514	8.43771474055025	11.054346991282266	10.414083669843613	13.245960440828743	18.1901409697415	19.47002338022237		
		0.0011949539184570312			0.033296823501586914			0.03509974479675293			0.39649033546447754			0.0009202957153320312			0.03359699249267578			0.002693653106689453						34.350817918777466			43.55875039100647			79.47711944580078			55.135822772979736	temperature	6	4.087952090013901	3.57587969786395	5.468232442509672	7.139900997826065	8.058395041532158	7.4103301945379085	8.855419018883296	17.80580769289541	16.634252280343627		
		0.0013022422790527344			0.03244185447692871			0.03469061851501465			0.4032464027404785			0.0009086132049560547			0.03361344337463379			0.0028030872344970703						34.477630853652954			44.51321268081665			80.66368055343628			56.05707836151123	temperature	7	4.807060887400954	4.15475153562066	5.139597382024694	5.599011932237985	7.957717178599294	7.353764134578369	9.632517843222509	17.17567680204635	18.362677603901748		
		0.0012400150299072266			0.03305935859680176			0.035965919494628906			0.40515589714050293			0.0009028911590576172			0.034399986267089844			0.0028295516967773438						35.396554470062256			45.2253155708313			79.66651844978333			55.70059561729431	temperature	8	4.620950671688051	3.6228670314995335	6.349517550648951	7.19021991525085	8.487985055216296	7.895549105004657	9.66486192348344	17.93181158995987	17.080631808334942		
		0.001245737075805664			0.03258514404296875			0.035773277282714844			0.39516568183898926			0.0009081363677978516			0.03406715393066406			0.002685546875						35.09623336791992			43.861233949661255			79.82164359092712			56.23375868797302	temperature	9	4.438923208091618	4.8999554257431654	13.389621253527066	8.370371359107729	10.207004630030418	8.8055494107103	12.624119375227723	18.636252378188523	18.474835133461056		
		0.0013165473937988281			0.033405303955078125			0.035971641540527344			0.39838671684265137			0.0008869171142578125			0.034674644470214844			0.00513148307800293						34.25334620475769			44.80120396614075			168.86582708358765			109.87125253677368	traffic	0	0.5042533016408518	0.49926400596556075	0.5058611035346985	0.5471031069755554	0.5238995752287807	0.49221178171602215	0.5163286328315735	1.2285746335983276	2.3221747875213623		
		0.001260995864868164			0.0332033634185791			0.03594040870666504			0.3814258575439453			0.0008816719055175781			0.03425407409667969			0.0051631927490234375						34.6432421207428			44.11989068984985			167.91021919250488			107.6858823299408	traffic	1	0.5026842722979837	0.456436613753811	0.5156863927841187	0.5351571440696716	0.49278852278420765	0.46975087288821926	0.5021772384643555	1.231423258781433	2.203561544418335		
		0.0013575553894042969			0.0328059196472168			0.03491520881652832			0.38878512382507324			0.000885009765625			0.03423428535461426			0.005066871643066406						35.15272808074951			44.619218587875366			167.73986268043518			108.89489698410034	traffic	2	0.5367884431955261	0.4864744200542891	0.5428674221038818	0.5883846282958984	0.5353814096015358	0.4930063399334996	0.5247161984443665	1.181419014930725	2.1381044387817383		
		0.0012645721435546875			0.03314566612243652			0.03579854965209961			0.39052915573120117			0.0008704662322998047			0.03618288040161133			0.005083799362182617						34.35327386856079			43.70666575431824			167.06584858894348			108.72260928153992	traffic	3	0.4709218387263514	0.4418829716067138	0.45470738410949707	0.5754927396774292	0.4655030278683227	0.43553974698960385	0.4782821834087372	1.2321616411209106	2.3251161575317383		
		0.0013091564178466797			0.03298783302307129			0.03593587875366211			0.3996617794036865			0.0008635520935058594			0.03511953353881836			0.0036437511444091797						35.10757517814636			44.70919489860535			166.5074121952057			109.96154499053955	traffic	4	0.4941848973322265	0.4554568130128486	0.4691375494003296	0.5185293555259705	0.49588827868231977	0.4657225197597797	0.5068320631980896	1.2486708164215088	2.282740592956543		
		0.0012383460998535156			0.03266024589538574			0.03544354438781738			0.3946406841278076			0.0008435249328613281			0.03462409973144531			0.00472712516784668						34.75576162338257			44.16262245178223			167.20378470420837			108.63324451446533	traffic	5	0.5122519795225092	0.4523596331964081	0.49352559447288513	0.5071085095405579	0.4960224169359127	0.4436992927919493	0.5062661170959473	1.249842643737793	2.3738269805908203		
		0.0012576580047607422			0.03327536582946777			0.03559732437133789			0.40023326873779297			0.0008664131164550781			0.03356432914733887			0.005074262619018555						33.36258506774902			43.903470516204834			168.70566391944885			108.99585914611816	traffic	6	0.46357866283489263	0.4298136497562829	0.48468196392059326	0.5716877579689026	0.4598223601477673	0.4494507526461225	0.4416310489177704	1.230051875114441	2.219503164291382		
		0.001245260238647461			0.03402209281921387			0.036081552505493164			0.39557313919067383			0.0008661746978759766			0.03402853012084961			0.004704713821411133						33.53421449661255			46.21108078956604			166.79249382019043			106.02995991706848	traffic	7	0.58135868280288	0.5455213137821854	0.5864755511283875	0.601044774055481	0.5562999571635506	0.525390307491715	0.5647163987159729	1.271789312362671	2.2406198978424072		
		0.0012459754943847656			0.03351855278015137			0.03564572334289551			0.39394474029541016			0.0008714199066162109			0.03476762771606445			0.0036172866821289062						34.70849943161011			44.36592411994934			164.98575496673584			109.18142485618591	traffic	8	0.48129927067874	0.43587590456550535	0.4777708649635315	0.4866037964820862	0.4784985558418562	0.4717327412882517	0.47555702924728394	1.1611945629119873	2.2564902305603027		
		0.0013227462768554688			0.03293776512145996			0.03575468063354492			0.40169548988342285			0.0008738040924072266			0.03452157974243164			0.005022525787353516						34.65735721588135			45.05842590332031			168.6333429813385			109.2858533859253	traffic	9	0.5244267481945102	0.4942329912003654	0.5130258202552795	0.5617618560791016	0.518227439375145	0.48875607849458885	0.5139452815055847	1.186121940612793	2.2236669063568115		
