dataset	signature	seed	ambient_gcn_f1-micro	ambient_mlp_f1-micro	ambient_mlr_f1-micro	kappa_gcn_f1-micro	kappa_mlp_f1-micro	kappa_mlr_f1-micro	knn_f1-micro	product_dt_f1-micro	product_rf_f1-micro	ps_perceptron_f1-micro	single_manifold_rf_f1-micro	sklearn_dt_f1-micro	sklearn_rf_f1-micro	tangent_dt_f1-micro	tangent_gcn_f1-micro	tangent_mlp_f1-micro	tangent_mlr_f1-micro	tangent_rf_f1-micro	ambient_gcn_f1-macro	ambient_mlp_f1-macro	ambient_mlr_f1-macro	kappa_gcn_f1-macro	kappa_mlp_f1-macro	kappa_mlr_f1-macro	knn_f1-macro	product_dt_f1-macro	product_rf_f1-macro	ps_perceptron_f1-macro	single_manifold_rf_f1-macro	sklearn_dt_f1-macro	sklearn_rf_f1-macro	tangent_dt_f1-macro	tangent_gcn_f1-macro	tangent_mlp_f1-macro	tangent_mlr_f1-macro	tangent_rf_f1-macro	ambient_gcn_accuracy	ambient_mlp_accuracy	ambient_mlr_accuracy	kappa_gcn_accuracy	kappa_mlp_accuracy	kappa_mlr_accuracy	knn_accuracy	product_dt_accuracy	product_rf_accuracy	ps_perceptron_accuracy	single_manifold_rf_accuracy	sklearn_dt_accuracy	sklearn_rf_accuracy	tangent_dt_accuracy	tangent_gcn_accuracy	tangent_mlp_accuracy	tangent_mlr_accuracy	tangent_rf_accuracy	ambient_gcn_time	ambient_mlp_time	ambient_mlr_time	kappa_gcn_time	kappa_mlp_time	kappa_mlr_time	knn_time	product_dt_time	product_rf_time	ps_perceptron_time	single_manifold_rf_time	sklearn_dt_time	sklearn_rf_time	tangent_dt_time	tangent_gcn_time	tangent_mlp_time	tangent_mlr_time	tangent_rf_time
citeseer	HH	0	0.24170616113744076	0.22274881516587677	0.22511848341232227	0.25355450236966826	0.24170616113744076	0.25355450236966826	0.21800947867298578	0.24644549763033174	0.27014218009478674	0.13744075829383887	0.22037914691943128	0.23933649289099526	0.22037914691943128	0.26066350710900477	0.26540284360189575	0.2725118483412322	0.2725118483412322	0.2725118483412322	0.12431129476584023	0.11042816832290518	0.11093601060963985	0.10651627762996672	0.11505760208665598	0.07113372914899632	0.167937374510185	0.16244620326541231	0.15536237395091407	0.04027777777777778	0.18811467403383172	0.15588133441848798	0.13143100002017483	0.17434001957029013	0.09848282909058599	0.131865824863977	0.13366272434899884	0.17195945352831973	0.24170616113744076	0.22274881516587677	0.22511848341232227	0.25355450236966826	0.24170616113744076	0.25355450236966826	0.21800947867298578	0.24644549763033174	0.27014218009478674	0.13744075829383887	0.22037914691943128	0.23933649289099526	0.22037914691943128	0.26066350710900477	0.26540284360189575	0.2725118483412322	0.2725118483412322	0.2725118483412322	56.724863052368164	41.933788776397705	19.10398578643799	112.11361479759216	107.42778396606445	49.44416332244873	0.013357162475585938	0.08431482315063477	0.8755979537963867	0.028209924697875977	39.2554566860199	0.005446910858154297	0.03387784957885742	0.0036656856536865234	56.248371839523315	42.06866192817688	19.081700563430786	0.03286337852478027
citeseer	HH	1	0.2037914691943128	0.2132701421800948	0.2132701421800948	0.2559241706161137	0.23696682464454977	0.24407582938388625	0.23696682464454977	0.23933649289099526	0.2559241706161137	0.13744075829383887	0.21800947867298578	0.28672985781990523	0.2559241706161137	0.22511848341232227	0.23933649289099526	0.23459715639810427	0.24644549763033174	0.25829383886255924	0.10777770998519597	0.0933858233677068	0.09333814671821765	0.1105685740561587	0.10053322124973214	0.10831406798527272	0.1906879317281027	0.1483481730161047	0.150182749884648	0.04027777777777778	0.18014975072728545	0.13450961603477754	0.15263333067071386	0.14798758547457788	0.09696969696969697	0.09149602191209077	0.09334831077238086	0.16057095582280945	0.2037914691943128	0.2132701421800948	0.2132701421800948	0.2559241706161137	0.23696682464454977	0.24407582938388625	0.23696682464454977	0.23933649289099526	0.2559241706161137	0.13744075829383887	0.21800947867298578	0.28672985781990523	0.2559241706161137	0.22511848341232227	0.23933649289099526	0.23459715639810427	0.24644549763033174	0.25829383886255924	56.31200408935547	42.597140073776245	19.133280992507935	113.56709432601929	109.56617522239685	49.40813875198364	0.007697582244873047	0.07819008827209473	0.9275987148284912	0.02943706512451172	39.90161323547363	0.005612611770629883	0.03425264358520508	0.0036101341247558594	58.93878197669983	42.94865846633911	18.492624521255493	0.03400230407714844
citeseer	HH	2	0.22985781990521326	0.23459715639810427	0.23459715639810427	0.22748815165876776	0.22985781990521326	0.24407582938388625	0.2725118483412322	0.25118483412322273	0.2796208530805687	0.12085308056872038	0.23696682464454977	0.23696682464454977	0.26303317535545023	0.24881516587677724	0.23696682464454977	0.24170616113744076	0.23696682464454977	0.28672985781990523	0.11170040265232517	0.1017353165522502	0.10090365215649955	0.07635688684075781	0.09092729168994673	0.10649877495280556	0.22761667029362456	0.15003747555044394	0.16805921482681838	0.035940803382663845	0.20303734721614028	0.14629325970400828	0.14734019563740924	0.14549722675491397	0.10369558154645875	0.10685502986631268	0.1037153547341579	0.17129786107909642	0.22985781990521326	0.23459715639810427	0.23459715639810427	0.22748815165876776	0.22985781990521326	0.24407582938388625	0.2725118483412322	0.25118483412322273	0.2796208530805687	0.12085308056872038	0.23696682464454977	0.23696682464454977	0.26303317535545023	0.24881516587677724	0.23696682464454977	0.24170616113744076	0.23696682464454977	0.28672985781990523	58.924757957458496	43.04078674316406	19.10123634338379	113.03277826309204	108.98788380622864	49.15450620651245	0.008020639419555664	0.09914970397949219	0.9475810527801514	0.028463125228881836	41.34077525138855	0.005511283874511719	0.03758955001831055	0.0035371780395507812	59.40897059440613	42.51203727722168	18.965866804122925	0.033872365951538086
citeseer	HH	3	0.26303317535545023	0.25829383886255924	0.25829383886255924	0.2796208530805687	0.24170616113744076	0.26303317535545023	0.22511848341232227	0.25118483412322273	0.25118483412322273	0.13981042654028436	0.22274881516587677	0.24407582938388625	0.27488151658767773	0.2725118483412322	0.26303317535545023	0.26540284360189575	0.26303317535545023	0.23222748815165878	0.1211405352388959	0.1071582459160697	0.1071582459160697	0.12409102972399151	0.07028047464940669	0.10569259962049336	0.1788563431481276	0.13213817253260454	0.15520244215533063	0.04088704088704089	0.1835038417842156	0.14041271585754037	0.17137644752294393	0.16169959503957512	0.11554296084127275	0.11013041655792029	0.10855137509549274	0.13199233845436156	0.26303317535545023	0.25829383886255924	0.25829383886255924	0.2796208530805687	0.24170616113744076	0.26303317535545023	0.22511848341232227	0.25118483412322273	0.25118483412322273	0.13981042654028436	0.22274881516587677	0.24407582938388625	0.27488151658767773	0.2725118483412322	0.26303317535545023	0.26540284360189575	0.26303317535545023	0.23222748815165878	59.169121980667114	42.9648334980011	19.091629028320312	113.46316409111023	107.2859537601471	48.686429500579834	0.006788492202758789	0.09365439414978027	0.9091928005218506	0.028656005859375	40.489962339401245	0.005308628082275391	0.04518389701843262	0.0036749839782714844	59.76384520530701	43.16021275520325	18.993991136550903	0.04367661476135254
citeseer	HH	4	0.20853080568720378	0.20853080568720378	0.20853080568720378	0.2014218009478673	0.19194312796208532	0.22037914691943128	0.17298578199052134	0.22037914691943128	0.22037914691943128	0.12796208530805686	0.2014218009478673	0.22748815165876776	0.2156398104265403	0.23222748815165878	0.2156398104265403	0.20853080568720378	0.20616113744075829	0.20616113744075829	0.1086382439672053	0.09616232053157238	0.09609113567777883	0.08315626021575678	0.06578793902529298	0.08832825288870506	0.14302395616234395	0.13659616497833574	0.12948750913007182	0.037815126050420166	0.16752575443436243	0.13029464597354912	0.13167169162255699	0.12676212676212675	0.09496935108856479	0.09014235274821088	0.08851851851851851	0.12976133576969084	0.20853080568720378	0.20853080568720378	0.20853080568720378	0.2014218009478673	0.19194312796208532	0.22037914691943128	0.17298578199052134	0.22037914691943128	0.22037914691943128	0.12796208530805686	0.2014218009478673	0.22748815165876776	0.2156398104265403	0.23222748815165878	0.2156398104265403	0.20853080568720378	0.20616113744075829	0.20616113744075829	59.49605083465576	42.6860191822052	19.280316829681396	113.38564085960388	109.14261937141418	50.02343010902405	0.007647514343261719	0.08739995956420898	0.9059293270111084	0.029441118240356445	39.61537575721741	0.0054662227630615234	0.034992218017578125	0.0036504268646240234	59.92147135734558	40.58255124092102	19.833564043045044	0.03259587287902832
citeseer	HH	5	0.26303317535545023	0.28199052132701424	0.28199052132701424	0.26303317535545023	0.2772511848341232	0.28199052132701424	0.23933649289099526	0.27014218009478674	0.26066350710900477	0.12322274881516587	0.23696682464454977	0.2677725118483412	0.2914691943127962	0.24407582938388625	0.2890995260663507	0.2914691943127962	0.2843601895734597	0.2985781990521327	0.13621016365202412	0.121972653151867	0.121972653151867	0.1117780144208877	0.09287785751651913	0.12123769338959212	0.19565743698296897	0.17846390821029778	0.14478429042659435	0.03656821378340366	0.2008727059802243	0.18090845252431853	0.17153565680537317	0.15978672155935617	0.12025012025012023	0.1294493772351708	0.11989553656220324	0.16539750062272943	0.26303317535545023	0.28199052132701424	0.28199052132701424	0.26303317535545023	0.2772511848341232	0.28199052132701424	0.23933649289099526	0.27014218009478674	0.26066350710900477	0.12322274881516587	0.23696682464454977	0.2677725118483412	0.2914691943127962	0.24407582938388625	0.2890995260663507	0.2914691943127962	0.2843601895734597	0.2985781990521327	59.40583610534668	42.21468210220337	18.755731105804443	114.75846743583679	108.9866144657135	49.66951370239258	0.00656580924987793	0.09896540641784668	0.8772227764129639	0.02828526496887207	40.32639002799988	0.0053174495697021484	0.03432416915893555	0.0036287307739257812	59.54214286804199	41.79554200172424	19.139726638793945	0.032790184020996094
citeseer	HH	6	0.23696682464454977	0.24407582938388625	0.24407582938388625	0.2677725118483412	0.2677725118483412	0.24881516587677724	0.20616113744075829	0.2725118483412322	0.3009478672985782	0.13981042654028436	0.1895734597156398	0.26303317535545023	0.2725118483412322	0.24644549763033174	0.22037914691943128	0.24644549763033174	0.25118483412322273	0.2843601895734597	0.1390876235205368	0.12594902268077143	0.12594902268077143	0.12663511781524203	0.10988630581483612	0.10827117626886146	0.16111121071366416	0.13386820068287802	0.17038748433310083	0.04088704088704089	0.1592670175126725	0.16018073718667614	0.15608118889391678	0.15528583664548576	0.11579612301280595	0.10321084293687033	0.1041950541601902	0.17120062179788023	0.23696682464454977	0.24407582938388625	0.24407582938388625	0.2677725118483412	0.2677725118483412	0.24881516587677724	0.20616113744075829	0.2725118483412322	0.3009478672985782	0.13981042654028436	0.1895734597156398	0.26303317535545023	0.2725118483412322	0.24644549763033174	0.22037914691943128	0.24644549763033174	0.25118483412322273	0.2843601895734597	59.73160481452942	43.005526542663574	19.258141040802002	110.9356734752655	109.15245985984802	49.8056263923645	0.00775146484375	0.09484982490539551	0.9274520874023438	0.02923107147216797	40.26955509185791	0.0054934024810791016	0.03541135787963867	0.0035049915313720703	59.45801043510437	42.719786643981934	18.765689611434937	0.031810760498046875
citeseer	HH	7	0.23696682464454977	0.22985781990521326	0.23222748815165878	0.2156398104265403	0.2132701421800948	0.22274881516587677	0.24170616113744076	0.24644549763033174	0.2677725118483412	0.13033175355450238	0.1966824644549763	0.2677725118483412	0.3104265402843602	0.25118483412322273	0.22985781990521326	0.2156398104265403	0.2109004739336493	0.2677725118483412	0.09838295999615344	0.09868434754490098	0.09949168937198666	0.08363802180491647	0.08204584053401902	0.08210098772269915	0.19583544196278688	0.16775813546328658	0.15626781461760245	0.03843466107617051	0.1689090243660635	0.20163697014599705	0.1979804964866507	0.15390858603767496	0.09711399711399711	0.08766737608011711	0.08641765168877268	0.1480603136187864	0.23696682464454977	0.22985781990521326	0.23222748815165878	0.2156398104265403	0.2132701421800948	0.22274881516587677	0.24170616113744076	0.24644549763033174	0.2677725118483412	0.13033175355450238	0.1966824644549763	0.2677725118483412	0.3104265402843602	0.25118483412322273	0.22985781990521326	0.2156398104265403	0.2109004739336493	0.2677725118483412	59.505648136138916	42.59456729888916	19.369621753692627	114.57143878936768	110.49652361869812	49.837745666503906	0.006459474563598633	0.09009456634521484	0.8894917964935303	0.028260469436645508	40.528645277023315	0.005433797836303711	0.03438377380371094	0.0036423206329345703	59.96012306213379	42.94779658317566	19.71501326560974	0.03328514099121094
citeseer	HH	8	0.24644549763033174	0.25355450236966826	0.25355450236966826	0.27014218009478674	0.2559241706161137	0.2843601895734597	0.22748815165876776	0.26066350710900477	0.25355450236966826	0.12796208530805686	0.1943127962085308	0.2914691943127962	0.2890995260663507	0.23933649289099526	0.25829383886255924	0.25118483412322273	0.24881516587677724	0.2677725118483412	0.11996382761000451	0.11181746951520964	0.11181746951520964	0.10693655438878369	0.08279710867845845	0.11628197997775307	0.19988277190690343	0.18176236062296844	0.1468703671212732	0.037815126050420166	0.16598552394586896	0.17836613348520136	0.1736031377457392	0.11216269307471892	0.07175663376041448	0.08915934189767862	0.08143626430908024	0.15106239714726896	0.24644549763033174	0.25355450236966826	0.25355450236966826	0.27014218009478674	0.2559241706161137	0.2843601895734597	0.22748815165876776	0.26066350710900477	0.25355450236966826	0.12796208530805686	0.1943127962085308	0.2914691943127962	0.2890995260663507	0.23933649289099526	0.25829383886255924	0.25118483412322273	0.24881516587677724	0.2677725118483412	59.89546513557434	43.075422525405884	18.136141300201416	114.20578193664551	108.7025363445282	48.36645150184631	0.006604671478271484	0.10040426254272461	0.9202132225036621	0.028535127639770508	39.15167427062988	0.005449533462524414	0.03490710258483887	0.00366973876953125	59.23551392555237	43.30255699157715	19.411328077316284	0.03348684310913086
citeseer	HH	9	0.24644549763033174	0.22274881516587677	0.22511848341232227	0.2559241706161137	0.23933649289099526	0.24407582938388625	0.18009478672985782	0.24170616113744076	0.25829383886255924	0.13270142180094788	0.2109004739336493	0.24407582938388625	0.27488151658767773	0.2938388625592417	0.26303317535545023	0.25829383886255924	0.25829383886255924	0.25118483412322273	0.14058436213991768	0.10643594414086217	0.10733232104556296	0.1128747795414462	0.10696337261614765	0.10337743511644142	0.14664168732872432	0.14590827989579722	0.1675075426902847	0.03905160390516039	0.177718363565754	0.14023345723022762	0.1758529274539101	0.16332255760173378	0.09179278096422731	0.09357550661898488	0.09797016385424308	0.16277270237331162	0.24644549763033174	0.22274881516587677	0.22511848341232227	0.2559241706161137	0.23933649289099526	0.24407582938388625	0.18009478672985782	0.24170616113744076	0.25829383886255924	0.13270142180094788	0.2109004739336493	0.24407582938388625	0.27488151658767773	0.2938388625592417	0.26303317535545023	0.25829383886255924	0.25829383886255924	0.25118483412322273	58.674241065979004	42.90142798423767	18.854768991470337	113.69657731056213	107.9754467010498	49.875112533569336	0.006517887115478516	0.09383940696716309	0.971778392791748	0.029138565063476562	40.84944295883179	0.005550861358642578	0.17543888092041016	0.0037016868591308594	56.64989638328552	42.628182888031006	19.190811157226562	0.03249406814575195
cora	H	0	0.2917505030181087	0.30181086519114686	0.30181086519114686	0.29979879275653926	0.3058350100603622	0.29979879275653926	0.19919517102615694	0.2796780684104628	0.30181086519114686	0.1529175050301811	0.16901408450704225	0.2655935613682093	0.2917505030181087	0.2595573440643863	0.289738430583501	0.28772635814889336	0.289738430583501	0.29577464788732394	0.08201280176443794	0.06654835847382432	0.06654835847382432	0.07534097565057317	0.07370652886464188	0.07781392677217733	0.1417092979889534	0.07751655407602713	0.10255818669211544	0.03789578658688607	0.1376701207415936	0.07847082494969818	0.09241653843536657	0.09516557036387785	0.08982111363063743	0.0826787502981159	0.08319508448540705	0.08597828885997358	0.2917505030181087	0.30181086519114686	0.30181086519114686	0.29979879275653926	0.3058350100603622	0.29979879275653926	0.19919517102615694	0.2796780684104628	0.30181086519114686	0.1529175050301811	0.16901408450704225	0.2655935613682093	0.2917505030181087	0.2595573440643863	0.289738430583501	0.28772635814889336	0.289738430583501	0.29577464788732394	59.851099252700806	43.29399108886719	19.493589162826538	53.89230012893677	56.69055438041687	28.08303713798523	0.015073060989379883	0.08178186416625977	0.9675860404968262	0.03347969055175781	44.05731129646301	0.0054051876068115234	0.04328441619873047	0.004328727722167969	60.03152370452881	42.707281827926636	19.591515064239502	0.034842729568481445
cora	H	1	0.3058350100603622	0.3118712273641851	0.3118712273641851	0.30985915492957744	0.31388329979879276	0.30985915492957744	0.18712273641851107	0.2837022132796781	0.2977867203219316	0.16096579476861167	0.2052313883299799	0.28169014084507044	0.2977867203219316	0.2796780684104628	0.3058350100603622	0.30784708249496984	0.30784708249496984	0.29577464788732394	0.07052372715827127	0.06792287467134092	0.06792287467134092	0.06800618238021638	0.07177004010331353	0.07102083962549079	0.12404821689070271	0.07967046135148163	0.07640871667183405	0.039613765783609804	0.1775202387622172	0.08116166513701183	0.0804358987736793	0.10985419371358493	0.10051769978840319	0.07622196904437714	0.07625602578283966	0.0823882122018768	0.3058350100603622	0.3118712273641851	0.3118712273641851	0.30985915492957744	0.31388329979879276	0.30985915492957744	0.18712273641851107	0.2837022132796781	0.2977867203219316	0.16096579476861167	0.2052313883299799	0.28169014084507044	0.2977867203219316	0.2796780684104628	0.3058350100603622	0.30784708249496984	0.30784708249496984	0.29577464788732394	59.806151151657104	41.81261658668518	19.65853452682495	53.68763017654419	55.65386986732483	27.659003019332886	0.008778810501098633	0.08700251579284668	0.9022200107574463	0.03384137153625488	43.58110284805298	0.005708217620849609	0.034986019134521484	0.0044329166412353516	59.62023735046387	43.41281032562256	19.681899785995483	0.03320932388305664
cora	H	2	0.3038229376257545	0.3118712273641851	0.3118712273641851	0.30181086519114686	0.3118712273641851	0.3118712273641851	0.2112676056338028	0.2917505030181087	0.3038229376257545	0.158953722334004	0.1710261569416499	0.317907444668008	0.30181086519114686	0.2937625754527163	0.30784708249496984	0.30784708249496984	0.3058350100603622	0.29577464788732394	0.08010765697753867	0.06802721088435373	0.06802721088435373	0.07700634986676176	0.07192762940271245	0.08571615459370562	0.14891728351901085	0.10917340195708901	0.0999590321958743	0.03918650793650794	0.14063845011691836	0.10018332026774406	0.09525106762766129	0.07314495028780743	0.1034813738444217	0.08680727494347959	0.08197360413814088	0.09701494681952307	0.3038229376257545	0.3118712273641851	0.3118712273641851	0.30181086519114686	0.3118712273641851	0.3118712273641851	0.2112676056338028	0.2917505030181087	0.3038229376257545	0.158953722334004	0.1710261569416499	0.317907444668008	0.30181086519114686	0.2937625754527163	0.30784708249496984	0.30784708249496984	0.3058350100603622	0.29577464788732394	59.97973418235779	43.04648470878601	18.77963089942932	54.04892683029175	56.37796759605408	28.23059630393982	0.008651256561279297	0.09690189361572266	0.9081730842590332	0.032726287841796875	43.855777978897095	0.0055387020111083984	0.1706218719482422	0.004425525665283203	60.57201623916626	42.63423466682434	19.49277353286743	0.0331883430480957
cora	H	3	0.26961770623742454	0.26961770623742454	0.26961770623742454	0.2676056338028169	0.26961770623742454	0.26961770623742454	0.21327967806841047	0.2635814889336016	0.2535211267605634	0.16901408450704225	0.17706237424547283	0.2676056338028169	0.2655935613682093	0.2635814889336016	0.26156941649899396	0.2655935613682093	0.2655935613682093	0.2716297786720322	0.06077097505668934	0.06067466606293864	0.06067466606293864	0.06050955414012739	0.06067466606293864	0.06086759027935499	0.14901649403550338	0.0790353294987375	0.07179481258428626	0.04130808950086058	0.14136064373603432	0.10362061571273286	0.08444404716064323	0.07874806098586852	0.0626069492227606	0.07223891298679752	0.07223891298679752	0.07717414950847368	0.26961770623742454	0.26961770623742454	0.26961770623742454	0.2676056338028169	0.26961770623742454	0.26961770623742454	0.21327967806841047	0.2635814889336016	0.2535211267605634	0.16901408450704225	0.17706237424547283	0.2676056338028169	0.2655935613682093	0.2635814889336016	0.26156941649899396	0.2655935613682093	0.2655935613682093	0.2716297786720322	59.947890281677246	43.59219980239868	19.4413640499115	53.96011233329773	56.38549017906189	28.084840297698975	0.008551836013793945	0.10558652877807617	0.9539134502410889	0.03308582305908203	43.76915717124939	0.005538463592529297	0.033240556716918945	0.0044057369232177734	60.68050670623779	43.24621224403381	19.625584840774536	0.03257489204406738
